"train/global_step","usual-capybara-5 - train/loss","usual-capybara-5 - train/loss__MIN","usual-capybara-5 - train/loss__MAX","usual-capybara-5 - _step","usual-capybara-5 - _step__MIN","usual-capybara-5 - _step__MAX"
"125","0.1087","0.1087","0.1087","124","124","124"
"126","0.2006","0.2006","0.2006","125","125","125"
"127","0.1106","0.1106","0.1106","126","126","126"
"128","0.1167","0.1167","0.1167","127","127","127"
"129","0.1507","0.1507","0.1507","128","128","128"
"130","0.1207","0.1207","0.1207","129","129","129"
"131","0.1129","0.1129","0.1129","130","130","130"
"132","0.1017","0.1017","0.1017","131","131","131"
"133","0.1031","0.1031","0.1031","132","132","132"
"134","0.1207","0.1207","0.1207","133","133","133"
"135","0.169","0.169","0.169","134","134","134"
"136","0.1605","0.1605","0.1605","135","135","135"
"137","0.1682","0.1682","0.1682","136","136","136"
"138","0.0992","0.0992","0.0992","137","137","137"
"139","0.1136","0.1136","0.1136","138","138","138"
"140","0.083","0.083","0.083","139","139","139"
"141","0.1242","0.1242","0.1242","140","140","140"
"142","0.1011","0.1011","0.1011","141","141","141"
"143","0.1168","0.1168","0.1168","142","142","142"
"144","0.1374","0.1374","0.1374","143","143","143"
"145","0.0644","0.0644","0.0644","144","144","144"
"146","0.1028","0.1028","0.1028","145","145","145"
"147","0.0749","0.0749","0.0749","146","146","146"
"148","0.1657","0.1657","0.1657","147","147","147"
"149","0.1466","0.1466","0.1466","148","148","148"
"150","0.1308","0.1308","0.1308","149","149","149"
"151","0.0819","0.0819","0.0819","150","150","150"
"152","0.1024","0.1024","0.1024","151","151","151"
"153","0.1184","0.1184","0.1184","152","152","152"
"154","0.1635","0.1635","0.1635","153","153","153"
"155","0.1044","0.1044","0.1044","154","154","154"
"156","0.1021","0.1021","0.1021","155","155","155"
"157","0.0883","0.0883","0.0883","156","156","156"
"158","0.0995","0.0995","0.0995","157","157","157"
"159","0.1261","0.1261","0.1261","158","158","158"
"160","0.1072","0.1072","0.1072","159","159","159"
"161","0.0762","0.0762","0.0762","160","160","160"
"162","0.1077","0.1077","0.1077","161","161","161"
"163","0.1079","0.1079","0.1079","162","162","162"
"164","0.0591","0.0591","0.0591","163","163","163"
"165","0.0946","0.0946","0.0946","164","164","164"
"166","0.1165","0.1165","0.1165","165","165","165"
"167","0.1208","0.1208","0.1208","166","166","166"
"168","0.1006","0.1006","0.1006","167","167","167"
"169","0.1539","0.1539","0.1539","168","168","168"
"170","0.0639","0.0639","0.0639","169","169","169"
"171","0.1489","0.1489","0.1489","170","170","170"
"172","0.0879","0.0879","0.0879","171","171","171"
"173","0.0835","0.0835","0.0835","172","172","172"
"174","0.179","0.179","0.179","173","173","173"
"175","0.1094","0.1094","0.1094","174","174","174"
"176","0.0917","0.0917","0.0917","175","175","175"
"177","0.2364","0.2364","0.2364","176","176","176"
"178","0.1818","0.1818","0.1818","177","177","177"
"179","0.1272","0.1272","0.1272","178","178","178"
"180","0.1765","0.1765","0.1765","179","179","179"
"181","0.155","0.155","0.155","180","180","180"
"182","0.075","0.075","0.075","181","181","181"
"183","0.1139","0.1139","0.1139","182","182","182"
"184","0.1059","0.1059","0.1059","183","183","183"
"185","0.0773","0.0773","0.0773","184","184","184"
"186","0.0913","0.0913","0.0913","185","185","185"
"187","0.0767","0.0767","0.0767","186","186","186"
"188","0.0816","0.0816","0.0816","187","187","187"
"189","0.0727","0.0727","0.0727","188","188","188"
"190","0.1066","0.1066","0.1066","189","189","189"
"191","0.1923","0.1923","0.1923","190","190","190"
"192","0.0579","0.0579","0.0579","191","191","191"
"193","0.1121","0.1121","0.1121","192","192","192"
"194","0.1351","0.1351","0.1351","193","193","193"
"195","0.0965","0.0965","0.0965","194","194","194"
"196","0.1252","0.1252","0.1252","195","195","195"
"197","0.1219","0.1219","0.1219","196","196","196"
"198","0.1768","0.1768","0.1768","197","197","197"
"199","0.108","0.108","0.108","198","198","198"
"200","0.1265","0.1265","0.1265","199","199","199"
