"train/global_step","usual-capybara-5 - train/learning_rate","usual-capybara-5 - train/learning_rate__MIN","usual-capybara-5 - train/learning_rate__MAX","usual-capybara-5 - _step","usual-capybara-5 - _step__MIN","usual-capybara-5 - _step__MAX"
"1","0","0","0","0","0","0"
"2","0.00002","0.00002","0.00002","1","1","1"
"3","0.00004","0.00004","0.00004","2","2","2"
"4","0.00006","0.00006","0.00006","3","3","3"
"5","0.00008","0.00008","0.00008","4","4","4"
"6","0.0001","0.0001","0.0001","5","5","5"
"7","0.00012","0.00012","0.00012","6","6","6"
"8","0.00014","0.00014","0.00014","7","7","7"
"9","0.00016","0.00016","0.00016","8","8","8"
"10","0.00018","0.00018","0.00018","9","9","9"
"11","0.0002","0.0002","0.0002","10","10","10"
"12","0.00019894736842105264","0.00019894736842105264","0.00019894736842105264","11","11","11"
"13","0.00019789473684210526","0.00019789473684210526","0.00019789473684210526","12","12","12"
"14","0.0001968421052631579","0.0001968421052631579","0.0001968421052631579","13","13","13"
"15","0.00019578947368421054","0.00019578947368421054","0.00019578947368421054","14","14","14"
"16","0.00019473684210526317","0.00019473684210526317","0.00019473684210526317","15","15","15"
"17","0.0001936842105263158","0.0001936842105263158","0.0001936842105263158","16","16","16"
"18","0.00019263157894736842","0.00019263157894736842","0.00019263157894736842","17","17","17"
"19","0.00019157894736842104","0.00019157894736842104","0.00019157894736842104","18","18","18"
"20","0.0001905263157894737","0.0001905263157894737","0.0001905263157894737","19","19","19"
"21","0.00018947368421052632","0.00018947368421052632","0.00018947368421052632","20","20","20"
"22","0.00018842105263157898","0.00018842105263157898","0.00018842105263157898","21","21","21"
"23","0.0001873684210526316","0.0001873684210526316","0.0001873684210526316","22","22","22"
"24","0.00018631578947368423","0.00018631578947368423","0.00018631578947368423","23","23","23"
"25","0.00018526315789473685","0.00018526315789473685","0.00018526315789473685","24","24","24"
"26","0.00018421052631578948","0.00018421052631578948","0.00018421052631578948","25","25","25"
"27","0.0001831578947368421","0.0001831578947368421","0.0001831578947368421","26","26","26"
"28","0.00018210526315789476","0.00018210526315789476","0.00018210526315789476","27","27","27"
"29","0.00018105263157894739","0.00018105263157894739","0.00018105263157894739","28","28","28"
"30","0.00018","0.00018","0.00018","29","29","29"
"31","0.00017894736842105264","0.00017894736842105264","0.00017894736842105264","30","30","30"
"32","0.00017789473684210526","0.00017789473684210526","0.00017789473684210526","31","31","31"
"33","0.0001768421052631579","0.0001768421052631579","0.0001768421052631579","32","32","32"
"34","0.00017578947368421052","0.00017578947368421052","0.00017578947368421052","33","33","33"
"35","0.00017473684210526317","0.00017473684210526317","0.00017473684210526317","34","34","34"
"36","0.0001736842105263158","0.0001736842105263158","0.0001736842105263158","35","35","35"
"37","0.00017263157894736842","0.00017263157894736842","0.00017263157894736842","36","36","36"
"38","0.00017157894736842107","0.00017157894736842107","0.00017157894736842107","37","37","37"
"39","0.0001705263157894737","0.0001705263157894737","0.0001705263157894737","38","38","38"
"40","0.00016947368421052633","0.00016947368421052633","0.00016947368421052633","39","39","39"
"41","0.00016842105263157895","0.00016842105263157895","0.00016842105263157895","40","40","40"
"42","0.0001673684210526316","0.0001673684210526316","0.0001673684210526316","41","41","41"
"43","0.00016631578947368423","0.00016631578947368423","0.00016631578947368423","42","42","42"
"44","0.00016526315789473686","0.00016526315789473686","0.00016526315789473686","43","43","43"
"45","0.00016421052631578948","0.00016421052631578948","0.00016421052631578948","44","44","44"
"46","0.0001631578947368421","0.0001631578947368421","0.0001631578947368421","45","45","45"
"47","0.00016210526315789473","0.00016210526315789473","0.00016210526315789473","46","46","46"
"48","0.00016105263157894736","0.00016105263157894736","0.00016105263157894736","47","47","47"
"49","0.00016","0.00016","0.00016","48","48","48"
"50","0.00015894736842105264","0.00015894736842105264","0.00015894736842105264","49","49","49"
"51","0.00015789473684210527","0.00015789473684210527","0.00015789473684210527","50","50","50"
"52","0.0001568421052631579","0.0001568421052631579","0.0001568421052631579","51","51","51"
"53","0.00015578947368421052","0.00015578947368421052","0.00015578947368421052","52","52","52"
"54","0.00015473684210526317","0.00015473684210526317","0.00015473684210526317","53","53","53"
"55","0.0001536842105263158","0.0001536842105263158","0.0001536842105263158","54","54","54"
"56","0.00015263157894736845","0.00015263157894736845","0.00015263157894736845","55","55","55"
"57","0.00015157894736842108","0.00015157894736842108","0.00015157894736842108","56","56","56"
"58","0.0001505263157894737","0.0001505263157894737","0.0001505263157894737","57","57","57"
"59","0.00014947368421052633","0.00014947368421052633","0.00014947368421052633","58","58","58"
"60","0.00014842105263157895","0.00014842105263157895","0.00014842105263157895","59","59","59"
"61","0.00014736842105263158","0.00014736842105263158","0.00014736842105263158","60","60","60"
"62","0.00014631578947368423","0.00014631578947368423","0.00014631578947368423","61","61","61"
"63","0.00014526315789473686","0.00014526315789473686","0.00014526315789473686","62","62","62"
"64","0.00014421052631578948","0.00014421052631578948","0.00014421052631578948","63","63","63"
"65","0.0001431578947368421","0.0001431578947368421","0.0001431578947368421","64","64","64"
"66","0.00014210526315789474","0.00014210526315789474","0.00014210526315789474","65","65","65"
"67","0.00014105263157894736","0.00014105263157894736","0.00014105263157894736","66","66","66"
"68","0.00014","0.00014","0.00014","67","67","67"
"69","0.00013894736842105264","0.00013894736842105264","0.00013894736842105264","68","68","68"
"70","0.00013789473684210527","0.00013789473684210527","0.00013789473684210527","69","69","69"
"71","0.0001368421052631579","0.0001368421052631579","0.0001368421052631579","70","70","70"
"72","0.00013578947368421055","0.00013578947368421055","0.00013578947368421055","71","71","71"
"73","0.00013473684210526317","0.00013473684210526317","0.00013473684210526317","72","72","72"
"74","0.0001336842105263158","0.0001336842105263158","0.0001336842105263158","73","73","73"
"75","0.00013263157894736842","0.00013263157894736842","0.00013263157894736842","74","74","74"
"76","0.00013157894736842108","0.00013157894736842108","0.00013157894736842108","75","75","75"
"77","0.0001305263157894737","0.0001305263157894737","0.0001305263157894737","76","76","76"
"78","0.00012947368421052633","0.00012947368421052633","0.00012947368421052633","77","77","77"
"79","0.00012842105263157895","0.00012842105263157895","0.00012842105263157895","78","78","78"
"80","0.00012736842105263158","0.00012736842105263158","0.00012736842105263158","79","79","79"
"81","0.0001263157894736842","0.0001263157894736842","0.0001263157894736842","80","80","80"
"82","0.00012526315789473683","0.00012526315789473683","0.00012526315789473683","81","81","81"
"83","0.00012421052631578949","0.00012421052631578949","0.00012421052631578949","82","82","82"
"84","0.0001231578947368421","0.0001231578947368421","0.0001231578947368421","83","83","83"
"85","0.00012210526315789474","0.00012210526315789474","0.00012210526315789474","84","84","84"
"86","0.00012105263157894738","0.00012105263157894738","0.00012105263157894738","85","85","85"
"87","0.00012","0.00012","0.00012","86","86","86"
"88","0.00011894736842105263","0.00011894736842105263","0.00011894736842105263","87","87","87"
"89","0.00011789473684210525","0.00011789473684210525","0.00011789473684210525","88","88","88"
"90","0.00011684210526315791","0.00011684210526315791","0.00011684210526315791","89","89","89"
"91","0.00011578947368421053","0.00011578947368421053","0.00011578947368421053","90","90","90"
"92","0.00011473684210526316","0.00011473684210526316","0.00011473684210526316","91","91","91"
"93","0.0001136842105263158","0.0001136842105263158","0.0001136842105263158","92","92","92"
"94","0.00011263157894736843","0.00011263157894736843","0.00011263157894736843","93","93","93"
"95","0.00011157894736842105","0.00011157894736842105","0.00011157894736842105","94","94","94"
